2015,9,1,44180
2015,9,1,113810
2015,9,1,119830
2017,9,1,2680
2017,8,1,101670
2016,4,1,78600
2019,4,1,36640
2016,2,1,115480
2017,2,1,90150
2017,2,1,222810
2016,12,1,138610
2016,12,1,153460
2018,11,1,54630
2018,11,1,44780
2018,10,1,39740
2017,5,2,196700
2017,2,2,141070
2018,1,2,134580
2018,1,2,39240
2019,1,2,182690
2019,1,2,48770
2015,11,2,45510
2015,11,2,440
2016,11,2,19990
2017,11,2,154040
2015,10,2,65500
2015,10,2,19770
2015,9,3,24850
2015,8,3,33430
2017,4,3,98120
2017,3,3,115530
2018,1,3,131760
2018,12,3,96040
2017,11,3,54220
2017,9,4,9620
2016,7,4,200470
2018,6,4,24850
2016,5,4,113810
2016,4,4,79650
2016,4,4,60380
2017,4,4,171010
2016,2,4,86250
2017,12,4,94860
2015,11,4,171010
2017,9,5,98660
2016,8,5,49120
2016,7,5,104040
2017,7,5,86250
2017,7,5,32820
2018,6,5,53050
2016,4,5,77280
2017,4,5,32980
2017,4,5,182690
2018,2,5,94940
2018,2,5,24940
2017,1,5,45060
2016,12,5,29480
2017,12,5,155960
2018,11,5,147760
2018,11,5,53290
2017,9,6,33600
2018,9,6,176440
2015,8,6,66790
2015,8,6,19570
2018,3,6,8800
2018,3,6,187270
2016,1,6,30270
2015,11,6,38620
2015,11,6,134580
2015,11,6,26910
2017,11,6,32820
2018,11,6,134060
2018,9,7,189690
2017,7,7,66790
2017,3,7,67730
2018,3,7,56000
2019,3,7,96040
2019,3,7,79170
2019,2,7,105330
2019,2,7,161570
2016,12,7,99410
2017,12,7,67770
2017,12,7,130740
2016,10,7,73540
2016,9,8,18290
2016,9,8,32750
2017,9,8,150900
2017,8,8,19570
2017,8,8,25870
2015,7,8,79170
2016,4,8,103230
2016,3,8,60230
2017,2,8,130500
2019,2,8,12860
2018,1,8,67730
2015,12,8,24940
2015,12,8,42600
2016,12,8,75970
2017,11,8,26150
2018,11,8,37230
2018,11,8,246690
2016,9,9,91340
2016,8,9,92300
2017,8,9,24850
2016,3,9,24880
2018,3,9,131400
2018,3,9,98120
2019,1,9,16920
2015,12,9,30270
2015,11,9,43590
2015,11,9,19590
2015,11,9,88290
2015,11,9,82660
2015,11,9,19990
2018,11,9,203450
2018,11,9,130740
2015,9,10,94970
2017,8,10,106080
2016,5,10,35200
2016,5,10,101170
2016,5,10,51390
2017,5,10,69540
2018,5,10,44180
2018,4,10,37400
2016,3,10,70300
2017,3,10,51980
2017,3,10,26910
2017,1,10,77280
2019,1,10,263860
2019,1,10,217820
2015,12,10,49120
2018,12,10,184230
2018,12,10,51780
2015,11,10,80470
2015,11,10,30270
2015,11,10,177830
2015,11,10,79190
2018,9,11,69330
2018,6,11,51980
2016,5,11,182690
2018,5,11,28080
2017,4,11,65420
2019,3,11,49470
2016,2,11,123260
2016,2,11,42040
2018,1,11,6580
2015,12,11,101680
2015,12,11,71280
2015,8,12,86060
2015,8,12,73640
2016,8,12,33790
2017,7,12,21880
2018,7,12,150900
2016,5,12,80530
2016,5,12,19590
2017,5,12,60230
2016,2,12,8830
2018,1,12,8800
2017,12,12,250060
2017,12,12,60480
2018,12,12,76080
2018,11,12,35200
2015,11,12,25870
2018,9,13,98120
2015,8,13,38010
2015,8,13,78940
2016,5,13,48470
2016,5,13,1840
2017,1,13,56730
2016,12,13,114190
2015,11,13,123570
2015,11,13,25950
2017,11,13,170790
2015,10,13,119830
2017,10,13,127160
2017,9,14,54920
2017,8,14,67770
2018,8,14,52460
2017,6,14,153460
2017,3,14,56000
2019,3,14,32580
2019,3,14,56000
2019,1,14,52770
2015,12,14,99520
2015,12,14,58370
2015,12,14,200470
2018,12,14,131400
2015,10,14,87730
2017,5,15,39240
2017,5,15,68050
2018,5,15,54630
2018,5,15,153460
2016,4,15,98660
2018,1,15,215380
2015,12,15,121890
2017,12,15,215380
2017,12,15,49720
2016,11,15,43360
2018,10,15,130740
2018,10,15,101730
2015,9,16,79650
2016,8,16,51160
2017,8,16,39740
2017,8,16,82660
2018,8,16,32580
2015,7,16,36260
2016,6,16,43260
2016,6,16,24940
2016,5,16,73010
2017,3,16,208140
2016,2,16,89790
2019,1,16,238120
2017,10,16,57030
2018,10,16,58450
2015,9,17,49630
2018,8,17,11080
2018,8,17,24940
2015,7,17,56000
2016,5,17,84180
2017,3,17,41020
2016,2,17,29480
2015,12,17,63440
2018,12,17,28080
2015,11,17,21650
2016,10,17,213090
2018,9,18,28080
2016,8,18,99410
2018,7,18,93380
2017,5,18,86670
2016,5,18,35460
2016,3,18,23790
2016,2,18,200470
2016,2,18,92300
2016,1,18,80470
2017,1,18,33600
2015,12,18,85670
2015,12,18,130740
2018,10,18,189690
2016,8,19,51380
2016,4,19,24850
2019,2,19,195440
2016,1,19,187790
2018,12,19,29480
2015,10,19,113810
2017,10,19,58110
2018,10,19,96610
2018,10,19,2290
2017,9,20,26150
2015,8,20,101930
2016,7,20,73640
2018,6,20,48830
2016,1,20,60480
2017,12,20,7530
2018,12,20,94970
2018,11,20,76080
2018,11,20,208370
2017,10,20,53590
2017,10,20,123750
2015,8,21,69330
2015,8,21,99220
2015,8,21,83930
2017,8,21,78940
2017,8,21,100030
2017,6,21,38010
2019,3,21,225590
2018,2,21,67770
2018,2,21,2680
2019,1,21,178780
2015,12,21,192410
2017,5,22,53950
2016,3,22,32580
2019,3,22,94360
2016,1,22,36620
2018,1,22,18700
2019,1,22,19570
2015,12,22,158380
2015,12,22,50760
2016,12,22,25870
2016,8,23,78600
2017,8,23,32980
2018,7,23,131400
2016,5,23,79810
2016,5,23,44180
2016,3,23,131090
2016,3,23,32680
2017,3,23,12340
2018,2,23,39240
2015,12,23,90740
2015,12,23,33600
2015,11,23,192410
2017,11,23,24850
2018,11,23,187270
2017,10,23,17680
2017,10,23,90150
2018,10,23,191410
2018,10,23,30350
2016,8,24,96870
2018,8,24,64480
2015,7,24,25870
2015,7,24,54220
2017,5,24,82800
2016,2,24,99410
2017,1,24,134060
2019,1,24,64480
2019,1,24,45340
2015,11,24,45300
2016,11,24,36620
2017,11,24,37400
2017,10,24,115610
2015,8,25,52670
2017,8,25,127160
2017,8,25,86670
2017,7,25,68050
2017,1,25,33790
2017,1,25,130740
2018,1,25,32820
2016,11,25,87220
2016,10,25,101670
2017,10,25,46970
2018,7,26,263800
2018,6,26,8370
2017,6,26,88290
2019,3,26,24850
2018,2,26,26910
2016,2,26,42040
2016,2,26,49720
2018,2,26,78650
2018,12,26,79810
2018,12,26,143540
2015,11,26,60260
2015,11,26,19590
2018,11,26,53270
2017,9,27,59100
2016,7,27,5670
2017,7,27,32820
2016,6,27,153460
2018,4,27,29480
2019,3,27,101670
2017,2,27,96870
2017,2,27,13720
2018,2,27,90740
2018,12,27,54300
2018,12,27,139050
2017,11,27,198440
2017,11,27,203450
2018,11,27,170030
2016,10,27,139670
2017,10,27,106520
2017,9,28,105550
2017,9,28,85910
2018,8,28,54540
2017,7,28,54180
2017,3,28,38530
2018,3,28,67770
2019,3,28,191410
2017,2,28,23440
2015,12,28,94970
2016,12,28,130500
2017,12,28,13720
2017,11,28,44480
2018,11,28,256940
2017,9,29,139670
2017,9,29,39610
2016,8,29,93380
2016,8,29,109820
2017,8,29,122800
2016,4,29,200470
2018,3,29,58420
2016,11,29,101160
2016,11,29,101000
2017,11,29,192390
2015,9,30,78590
2015,9,30,2290
2016,8,30,47440
2017,8,30,36260
2018,8,30,56000
2015,6,30,74150
2016,5,30,71280
2018,3,30,53060
2017,3,30,52600
2016,5,31,45340
2019,1,31,76610
2019,1,31,96690
2018,10,31,68940
2018,10,31,50960
